Seperate branches

-norm(x-y) and cossim
class 0: roc: 0.3187093185185185, roc: 0.49023536296296294
class 1: roc: 0.3744581703703704, roc: 0.5835678074074073
class 2: roc: 0.4017911037037037, roc: 0.5623581851851851
class 3: roc: 0.4641598888888889, roc: 0.5160508814814815
class 4: roc: 0.4775006074074074, roc: 0.5758077777777778
class 5: roc: 0.48187257037037035, roc: 0.5273983407407408
class 6: roc: 0.5791249481481482, roc: 0.5372606
class 7: roc: 0.2848060074074074, roc: 0.5137091851851853
class 8: roc: 0.3554673037037037, roc: 0.4388309629629629
class 9: roc: 0.39673971851851847, roc: 0.4811837925925926

ocsvm on without aug
class 0: roc: 0.40606125925925923
class 1: roc: 0.7102808592592593
class 2: roc: 0.5802413481481481
class 3: roc: 0.5800467111111112
class 4: roc: 0.6469948888888889
class 5: roc: 0.6435261777777779
class 6: roc: 0.7875034666666667
class 7: roc: 0.6837758074074074
class 8: roc: 0.538993525925926
class 9: roc: 0.6760648296296297

seperate branches with rotations

ocsvm with linear kernel on aug non rotated
class 0: roc: 0.7309365037037038
class 1: roc: 0.811930074074074
class 2: roc: 0.5233799851851851
class 3: roc: 0.5674882814814816
class 4: roc: 0.5572197629629629
class 5: roc: 0.48026434074074076
class 6: roc: 0.4687746074074074
class 7: roc: 0.7336366074074074
class 8: roc: 0.847710888888889
class 9: roc: 0.7659921925925927
